size,line,associativity,writes,write misses,reads,read misses,misses,accesses,miss        ratio
32,16,1,725978,124669,861246,126700,251369,1587224,15.837%
16,32,1,725978,140381,861249,86518,226899,1587227,14.2953%
64,32,1,725978,77491,861246,63395,140886,1587224,8.87625%
32,64,1,725978,111244,861249,45275,156519,1587227,9.86116%
32,32,1,725978,105245,861249,71518,176763,1587227,11.1366%
32,16,2,725978,138714,861246,5939,144653,1587224,9.11358%
32,64,2,725978,138662,861246,1433,140095,1587224,8.82642%
32,32,2,725978,138773,861246,1688,140461,1587224,8.84948%
16,32,2,725978,169625,861246,9595,179220,1587224,11.2914%
64,32,2,725978,87095,861246,1950,89045,1587224,5.61011%
